(Proteins Complexes)	Common-Name	Genes of polypeptide, complex, or RNA	Locations
G1G01-1778-MONOMER	alpha-ribazole-5'-phosphate phosphatase	G1G01-1778	CCI-CYTOSOL-GN
G1G01-5434-MONOMER	cell division protein	G1G01-5434	CCI-PM-BAC-NEG-GN
G1G01-4830-MONOMER	DMT superfamily permease	G1G01-4830	CCI-PM-BAC-NEG-GN
G1G01-3699-MONOMER	FAD dependent oxidoreductase	G1G01-3699	
G1G01-1970-MONOMER	3-deoxy-7-phosphoheptulonate synthase	G1G01-1970	CCI-CYTOSOL-GN
G1G01-152-MONOMER	Na+/Pi-cotransporter	G1G01-152	CCI-PM-BAC-NEG-GN
G1G01-5776-MONOMER	DeoR family transcriptional regulator	G1G01-5776	CCI-CYTOSOL-GN
G1G01-4032-MONOMER	pyrroline-5-carboxylate reductase	G1G01-4032	CCI-CYTOSOL-GN
G1G01-3107-MONOMER	carboxynorspermidine/carboxyspermidine decarboxylase	G1G01-3107	CCI-CYTOSOL-GN
G1G01-913-MONOMER	bifunctional inositol monophosphatase/glycerol-2-phosphatase	G1G01-913	CCI-CYTOSOL-GN
G1G01-2322-MONOMER	Cro/CI family transcriptional regulator	G1G01-2322	CCI-CYTOSOL-GN
G1G01-5181-MONOMER	urea ABC transporter substrate-binding protein	G1G01-5181	
G1G01-4381-MONOMER	hypothetical protein	G1G01-4381	
G1G01-267-MONOMER	transcriptional accessory protein	G1G01-267	CCI-CYTOSOL-GN
G1G01-3446-MONOMER	class II aldolase/adducin domain-containing protein	G1G01-3446	CCI-CYTOSOL-GN
G1G01-1074-MONOMER	arginine deiminase	G1G01-1074	CCI-CYTOSOL-GN
G1G01-4719-MONOMER	transposase	G1G01-4719	
G1G01-1866-MONOMER	ubiquinone biosynthesis O-methyltransferase	G1G01-1866	CCI-CYTOSOL-GN
G1G01-1419-MONOMER	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	G1G01-1419	CCI-CYTOSOL-GN
G1G01-3007-MONOMER	alcohol dehydrogenase	G1G01-3007	CCI-CYTOSOL-GN
G1G01-552-MONOMER	MFS transporter	G1G01-552	CCI-PM-BAC-NEG-GN
G1G01-5082-MONOMER	amino acid ABC transporter substrate-binding protein	G1G01-5082	
G1G01-3346-MONOMER	exopolysaccharide biosynthesis/transport protein	G1G01-3346	CCI-PM-BAC-NEG-GN
G1G01-3785-MONOMER	multidrug transporter permease	G1G01-3785	CCI-PM-BAC-NEG-GN
G1G01-1762-MONOMER	phosphoribosylglycinamide formyltransferase	G1G01-1762	CCI-CYTOSOL-GN
G1G01-5419-MONOMER	glutamate synthase &beta; subunit	G1G01-5419	CCI-CYTOSOL-GN
G1G01-206-MONOMER	uroporphyrin-III C-methyltransferase	G1G01-206	CCI-PM-BAC-NEG-GN
G1G01-3684-MONOMER	TPR repeat-containing protein	G1G01-3684	CCI-OUTER-MEM-GN
G1G01-1955-MONOMER	transporter YgaY	G1G01-1955	CCI-PM-BAC-NEG-GN
G1G01-657-MONOMER	30S ribosomal protein S20	G1G01-657	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-5761-MONOMER	transposase	G1G01-5761	
G1G01-4018-MONOMER	transcriptional regulator TurB monomer	G1G01-4018	CCI-CYTOSOL-GN
G1G01-412-MONOMER	coenzyme PQQ synthesis protein D	G1G01-412	CCI-CYTOSOL-GN
G1G01-899-MONOMER	phosphonate ABC transporter ATP-binding protein	G1G01-899	CCI-PM-BAC-NEG-GN
G1G01-2307-MONOMER	anti-anti-sigma factor	G1G01-2307	CCI-CYTOSOL-GN
G1G01-998-MONOMER	hypothetical protein	G1G01-998	CCI-CYTOSOL-GN
G1G01-4367-MONOMER	Cro/CI family transcriptional regulator	G1G01-4367	
G1G01-2655-MONOMER	xanthine dehydrogenase accessory factor	G1G01-2655	CCI-CYTOSOL-GN
G1G01-2412-MONOMER	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	G1G01-2412	CCI-CYTOSOL-GN
G1G01-106-MONOMER	hypothetical protein	G1G01-106	
G1G01-4703-MONOMER	succinate-semialdehyde dehydrogenase	G1G01-4703	CCI-CYTOSOL-GN
G1G01-4468-MONOMER	lipoprotein	G1G01-4468	
G1G01-1403-MONOMER	30S ribosomal protein S9	G1G01-1403	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN
G1G01-2994-MONOMER	hypothetical protein	G1G01-2994	CCI-CYTOSOL-GN
G1G01-2759-MONOMER	paraquat-inducible protein B	G1G01-2759	CCO-MEMBRANE
G1G01-5065-MONOMER	D-lactate dehydrogenase (quinone)	G1G01-5065	CCI-CYTOSOL-GN
G1G01-3331-MONOMER	transposase	G1G01-3331	
G1G01-1158-MONOMER	ribonuclease T	G1G01-1158	CCI-CYTOSOL-GN
G1G01-1748-MONOMER	two component system histidine kinase GacS	G1G01-1748	CCI-PM-BAC-NEG-GN
G1G01-5404-MONOMER	hypothetical protein	G1G01-5404	
G1G01-4815-MONOMER	DMT superfamily permease	G1G01-4815	CCI-PM-BAC-NEG-GN
G1G01-3669-MONOMER	chloramphenicol-sensitive protein	G1G01-3669	CCI-PM-BAC-NEG-GN
G1G01-194-MONOMER	putative efflux transporter	G1G01-194	CCI-PM-BAC-NEG-GN
G1G01-1505-MONOMER	uracil-DNA glycosylase	G1G01-1505	CCI-CYTOSOL-GN
G1G01-5745-MONOMER	RND family copper transporter permease subunit CusA	G1G01-5745	CCI-PM-BAC-NEG-GN
G1G01-4002-MONOMER	hypothetical protein	G1G01-4002	CCI-CYTOSOL-GN
G1G01-3093-MONOMER	osmosensory proline/betaine/H+ permease	G1G01-3093	CCI-PM-BAC-NEG-GN
G1G01-884-MONOMER	protein thiol:quinone oxidoreductase DsbB	G1G01-884	CCI-PM-BAC-NEG-GN
G1G01-2293-MONOMER	glycerophosphoryl diester phosphodiesterase	G1G01-2293	CCI-CYTOSOL-GN
G1G01-5167-MONOMER	precorrin-2 C(20)-methyltransferase	G1G01-5167	CCI-CYTOSOL-GN
G1G01-4346-MONOMER	type IV/VI secretion system protein	G1G01-4346	CCO-MEMBRANE
G1G01-264-MONOMER	TetR family transcriptional regulator	G1G01-264	CCI-CYTOSOL-GN
G1G01-3430-MONOMER	Pdr/VanB family oxidoreductase	G1G01-3430	CCI-CYTOSOL-GN
G1G01-1043-MONOMER	GntR family transcriptional regulator	G1G01-1043	CCI-CYTOSOL-GN
G1G01-469-MONOMER	iron-sulfur cluster insertion protein ErpA	G1G01-469	CCI-CYTOSOL-GN
G1G01-1851-MONOMER	asparagine synthetase	G1G01-1851	CCI-CYTOSOL-GN
G1G01-139-MONOMER	alginate biosynthesis transcriptional regulator AlgB	G1G01-139	CCI-CYTOSOL-GN
G1G01-2979-MONOMER	class III aminotransferase	G1G01-2979	CCI-CYTOSOL-GN
G1G01-5505-MONOMER	hypothetical protein	G1G01-5505	CCI-PM-BAC-NEG-GN
G1G01-5049-MONOMER	carbamoyl-phosphate synthase large subunit	G1G01-5049	
G1G01-3315-MONOMER	hypothetical protein	G1G01-3315	
G1G01-377-MONOMER	lipopolysaccharide core heptose (I) kinase	G1G01-377	CCI-CYTOSOL-GN // CCO-MEMBRANE
G1G01-1732-MONOMER	hypothetical protein	G1G01-1732	CCI-CYTOSOL-GN
G1G01-5390-MONOMER	tRNA sulfurtransferase	G1G01-5390	CCI-CYTOSOL-GN
G1G01-2045-MONOMER	ArsR1 monomer	G1G01-2045	CCI-CYTOSOL-GN
G1G01-3654-MONOMER	sensor histidine kinase	G1G01-3654	CCI-PM-BAC-NEG-GN
G1G01-1925-MONOMER	benzoate transport protein	G1G01-1925	CCI-PM-BAC-NEG-GN
G1G01-638-MONOMER	copper-binding chaperone	G1G01-638	
G1G01-5730-MONOMER	choline/carnitine/betaine transporter family protein	G1G01-5730	CCI-PM-BAC-NEG-GN
G1G01-399-MONOMER	malonyl-ACP O-methyltransferase	G1G01-399	CCI-CYTOSOL-GN
G1G01-4105-MONOMER	putrescine-binding protein	G1G01-4105	CCI-PERI-BAC-GN
G1G01-87-MONOMER	tryptophan synthase subunit beta	G1G01-87	CCI-CYTOSOL-GN
G1G01-2279-MONOMER	hypothetical protein	G1G01-2279	
G1G01-983-MONOMER	hypothetical protein	G1G01-983	
G1G01-433-MONOMER	hypothetical protein	G1G01-433	CCI-CYTOSOL-GN
G1G01-2624-MONOMER	ribose ABC transporter, periplasmic ribose-binding subunit	G1G01-2624	CCI-PERI-BAC-GN
G1G01-2399-MONOMER	GntR family transcriptional regulator	G1G01-2399	CCI-CYTOSOL-GN
G1G01-1029-MONOMER	hypothetical protein	G1G01-1029	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
G1G01-4674-MONOMER	flagellar biosynthesis protein FlgN	G1G01-4674	CCI-CYTOSOL-GN
G1G01-4450-MONOMER	branched-chain amino acid transporter	G1G01-4450	CCI-PM-BAC-NEG-GN
G1G01-1375-MONOMER	GDP-mannose 6-dehydrogenase	G1G01-1375	CCI-CYTOSOL-GN
G1G01-2964-MONOMER	short-chain dehydrogenase/reductase family oxidoreductase	G1G01-2964	CCI-CYTOSOL-GN
G1G01-5031-MONOMER	30S ribosomal protein S15	G1G01-5031	CCI-CYTOSOL-GN
G1G01-330-MONOMER	AraC family transcriptional regulator	G1G01-330	CCI-CYTOSOL-GN
G1G01-1143-MONOMER	glutamate/aspartate ABC transporter permease	G1G01-1143	CCI-PM-BAC-NEG-GN
G1G01-1715-MONOMER	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	G1G01-1715	CCI-CYTOSOL-GN
G1G01-5376-MONOMER	proline (histidine) APC transporter	G1G01-5376	CCI-PM-BAC-NEG-GN
G1G01-48-MONOMER	response regulator	G1G01-48	CCI-CYTOSOL-GN
G1G01-3638-MONOMER	hypothetical protein	G1G01-3638	
G1G01-191-MONOMER	transcriptional factor-like protein	G1G01-191	
G1G01-1490-MONOMER	alpha-ketoglutarate permease	G1G01-1490	CCI-PM-BAC-NEG-GN
G1G01-5715-MONOMER	CobW/P47K family protein	G1G01-5715	CCI-PM-BAC-NEG-GN
G1G01-3975-MONOMER	amino acid racemase	G1G01-3975	CCI-PERI-BAC-GN
G1G01-3079-MONOMER	hypothetical protein	G1G01-3079	CCI-CYTOSOL-GN
G1G01-855-MONOMER	methyl-accepting chemotaxis transducer/sensory box protein	G1G01-855	CCI-PM-BAC-NEG-GN
G1G01-2264-MONOMER	molybdenum::molybdopterin ligase	G1G01-2264	CCI-CYTOSOL-GN
G1G01-5152-MONOMER	membrane protein	G1G01-5152	CCI-PM-BAC-NEG-GN
G1G01-4315-MONOMER	glycogen synthase	G1G01-4315	CCI-CYTOSOL-GN
G1G01-2608-MONOMER	hypothetical protein	G1G01-2608	
G1G01-3416-MONOMER	hypothetical protein	G1G01-3416	CCI-CYTOSOL-GN
G1G01-1014-MONOMER	microcin B17 maturation protease	G1G01-1014	CCI-CYTOSOL-GN
G1G01-466-MONOMER	putative nitronate monooxygenase	G1G01-466	
G1G01-1837-MONOMER	hypothetical protein	G1G01-1837	
G1G01-1360-MONOMER	multidrug MFS transporter outer membrane protein	G1G01-1360	CCI-OUTER-MEM-GN
G1G01-295-MONOMER	hypothetical protein	G1G01-295	
G1G01-5491-MONOMER	RNA pyrophosphohydrolase	G1G01-5491	CCI-CYTOSOL-GN
G1G01-5016-MONOMER	nitrogen regulation protein NR(I)	G1G01-5016	CCI-CYTOSOL-GN
G1G01-3286-MONOMER	OmpA domain-containing protein	G1G01-3286	CCI-OUTER-MEM-GN // CCI-PM-BAC-NEG-GN
G1G01-3755-MONOMER	lipoprotein	G1G01-3755	
G1G01-17-MONOMER	hypothetical protein	G1G01-17	
G1G01-5360-MONOMER	phosphoribosyl-ATP pyrophosphatase	G1G01-5360	CCI-CYTOSOL-GN
G1G01-203-MONOMER	alginate biosynthesis regulatory protein	G1G01-203	CCI-CYTOSOL-GN
G1G01-3623-MONOMER	hypothetical protein	G1G01-3623	CCI-CYTOSOL-GN
G1G01-5700-MONOMER	acetyltransferase	G1G01-5700	CCI-CYTOSOL-GN
G1G01-623-MONOMER	hypothetical protein	G1G01-623	CCI-OUTER-MEM-GN
G1G01-3960-MONOMER	hypothetical protein	G1G01-3960	
G1G01-840-MONOMER	medium-chain-fatty acid CoA ligase	G1G01-840	CCI-CYTOSOL-GN
G1G01-4090-MONOMER	CsrA-like carbon storage regulator	G1G01-4090	CCI-CYTOSOL-GN
G1G01-2249-MONOMER	hypothetical protein	G1G01-2249	CCI-CYTOSOL-GN
G1G01-4300-MONOMER	NCS1 family transporter PydP	G1G01-4300	CCI-PM-BAC-NEG-GN
G1G01-969-MONOMER	hypothetical protein	G1G01-969	
G1G01-2594-MONOMER	membrane protein	G1G01-2594	CCI-PM-BAC-NEG-GN
G1G01-100-MONOMER	oligopeptidase A	G1G01-100	CCI-CYTOSOL-GN
G1G01-238-MONOMER	sensory box/GGDEF family protein	G1G01-238	CCI-CYTOSOL-GN
G1G01-4645-MONOMER	flagellar assembly protein FliH	G1G01-4645	CCI-CYTOSOL-GN
G1G01-1346-MONOMER	aspartate-proton symporter	G1G01-1346	CCI-PM-BAC-NEG-GN
G1G01-4436-MONOMER	glycerol-3-phosphate dehydrogenase	G1G01-4436	CCI-CYTOSOL-GN
G1G01-2935-MONOMER	OprD family outer membrane porin	G1G01-2935	CCI-OUTER-MEM-GN
G1G01-5000-MONOMER	TPR repeat-containing protein	G1G01-5000	
G1G01-2728-MONOMER	trans-aconitate methyltransferase	G1G01-2728	CCI-CYTOSOL-GN
G1G01-3270-MONOMER	ABC transporter permease	G1G01-3270	CCI-PM-BAC-NEG-GN
G1G01-1683-MONOMER	NhaP-type Na+(K+)/H+ antiporter	G1G01-1683	CCI-PM-BAC-NEG-GN
G1G01-1129-MONOMER	iron-chelator utilization protein	G1G01-1129	CCI-CYTOSOL-GN
G1G01-5346-MONOMER	protease HslVU ATPase subunit	G1G01-5346	CCI-CYTOSOL-GN
G1G01-3609-MONOMER	2-ketogluconokinase	G1G01-3609	CCI-CYTOSOL-GN
G1G01-4783-MONOMER	AraC family transcriptional regulator	G1G01-4783	CCI-PM-BAC-NEG-GN
G1G01-5687-MONOMER	acyl-CoA thioesterase	G1G01-5687	
G1G01-3946-MONOMER	hypothetical protein	G1G01-3946	
G1G01-1476-MONOMER	efflux pump periplasmic linker TtgA	G1G01-1476	CCI-PM-BAC-NEG-GN
G1G01-825-MONOMER	hypothetical protein	G1G01-825	CCI-CYTOSOL-GN
G1G01-2233-MONOMER	dihydroorotate dehydrogenase	G1G01-2233	CCI-CYTOSOL-GN // CCI-PM-BAC-NEG-GN
G1G01-3064-MONOMER	XRE family transcriptional regulator	G1G01-3064	CCI-CYTOSOL-GN
G1G01-4286-MONOMER	DNA topoisomerase III	G1G01-4286	CCI-CYTOSOL-GN
G1G01-463-MONOMER	2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase	G1G01-463	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
G1G01-5138-MONOMER	octanoyltransferase	G1G01-5138	CCI-CYTOSOL-GN
G1G01-1329-MONOMER	hypothetical protein	G1G01-1329	
G1G01-2580-MONOMER	iron ABC transporter permease	G1G01-2580	CCI-PM-BAC-NEG-GN
G1G01-3400-MONOMER	Smp-30/Cgr1 family protein	G1G01-3400	CCI-CYTOSOL-GN
G1G01-2920-MONOMER	sensory box protein	G1G01-2920	CCI-CYTOSOL-GN
G1G01-4983-MONOMER	diguanylate cyclase	G1G01-4983	CCI-PM-BAC-NEG-GN
G1G01-1822-MONOMER	phosphoserine phosphatase	G1G01-1822	CCI-CYTOSOL-GN
G1G01-3255-MONOMER	tail formation	G1G01-3255	CCI-CYTOSOL-GN
G1G01-1668-MONOMER	hypothetical protein	G1G01-1668	
G1G01-5476-MONOMER	sodium/cystine symporter	G1G01-5476	CCI-PM-BAC-NEG-GN
G1G01-5331-MONOMER	hemolysin III family channel protein	G1G01-5331	CCI-PM-BAC-NEG-GN
G1G01-3595-MONOMER	two-component system response regulator	G1G01-3595	CCI-CYTOSOL-GN
G1G01-374-MONOMER	ADP-heptose:LPS heptosyltransferase II	G1G01-374	CCI-CYTOSOL-GN
G1G01-5672-MONOMER	rubredoxin-1	G1G01-5672	CCI-CYTOSOL-GN
G1G01-3931-MONOMER	hypothetical protein	G1G01-3931	
G1G01-2014-MONOMER	phosphotyrosine-protein phosphatase	G1G01-2014	CCI-CYTOSOL-GN
G1G01-810-MONOMER	molybdopterin synthase adenylyltransferase subunit	G1G01-810	CCI-CYTOSOL-GN
G1G01-2218-MONOMER	NAD-specific glutamate dehydrogenase	G1G01-2218	CCI-PM-BAC-NEG-GN
G1G01-609-MONOMER	acetyl-CoA carboxylase biotin carboxyl carrier subunit	G1G01-609	CCI-CYTOSOL-GN
G1G01-4271-MONOMER	DNA translocase FtsK	G1G01-4271	CCI-PM-BAC-NEG-GN
G1G01-4614-MONOMER	flagellar motor rotation protein	G1G01-4614	CCI-PM-BAC-NEG-GN
G1G01-4076-MONOMER	phosphate-binding protein	G1G01-4076	CCI-PM-BAC-NEG-GN
G1G01-1313-MONOMER	membrane protein	G1G01-1313	CCI-PM-BAC-NEG-GN
G1G01-2566-MONOMER	chemotaxis protein CheY	G1G01-2566	CCI-CYTOSOL-GN
G1G01-954-MONOMER	dipeptide ABC transporter ATP-binding protein	G1G01-954	CCI-PM-BAC-NEG-GN
G1G01-2906-MONOMER	protease PfpI	G1G01-2906	CCI-PERI-BAC-GN
G1G01-4969-MONOMER	protocatechuate 3,4-dioxygenase subunit beta	G1G01-4969	CCI-CYTOSOL-GN
G1G01-2365-MONOMER	K(+)/H(+) antiporter subunit G	G1G01-2365	CCI-PM-BAC-NEG-GN
G1G01-1653-MONOMER	holin	G1G01-1653	CCI-PM-BAC-NEG-GN
G1G01-5316-MONOMER	hypothetical protein	G1G01-5316	CCI-PM-BAC-NEG-GN
G1G01-4421-MONOMER	amine oxidase	G1G01-4421	CCI-CYTOSOL-GN
G1G01-3243-MONOMER	baseplate protein	G1G01-3243	
G1G01-3580-MONOMER	GGDEF domain-containing protein	G1G01-3580	CCI-PM-BAC-NEG-GN
G1G01-2713-MONOMER	5-nucleotidase	G1G01-2713	CCI-CYTOSOL-GN
G1G01-5658-MONOMER	DNA-directed RNA polymerase subunit omega	G1G01-5658	CCI-CYTOSOL-GN
G1G01-3916-MONOMER	hypothetical protein	G1G01-3916	CCI-CYTOSOL-GN
G1G01-1114-MONOMER	twin arginine protein export complex subunit	G1G01-1114	CCI-PM-BAC-NEG-GN
G1G01-796-MONOMER	ribose-phosphate pyrophosphokinase	G1G01-796	CCI-CYTOSOL-GN
G1G01-2203-MONOMER	RND family multidrug permease	G1G01-2203	CCI-PM-BAC-NEG-GN
G1G01-4764-MONOMER	ribose 1,5-bisphosphate phosphokinase	G1G01-4764	CCI-CYTOSOL-GN
G1G01-4256-MONOMER	DNA-cytosine methyltransferase	G1G01-4256	CCI-CYTOSOL-GN
G1G01-460-MONOMER	DNA-binding transcriptional dual regulator	G1G01-460	CCI-CYTOSOL-GN
G1G01-1461-MONOMER	methyl-accepting chemotaxis protein PctA	G1G01-1461	CCI-PM-BAC-NEG-GN
G1G01-1299-MONOMER	transcriptional regulator	G1G01-1299	CCI-CYTOSOL-GN
G1G01-2550-MONOMER	hypothetical protein	G1G01-2550	
G1G01-305-MONOMER	hypothetical protein	G1G01-305	
G1G01-2892-MONOMER	short-chain dehydrogenase/reductase family oxidoreductase	G1G01-2892	CCI-CYTOSOL-GN
G1G01-4954-MONOMER	putative transporter	G1G01-4954	CCI-PM-BAC-NEG-GN
G1G01-5123-MONOMER	hypothetical protein	G1G01-5123	CCI-CYTOSOL-GN
G1G01-1638-MONOMER	hypothetical protein	G1G01-1638	
G1G01-5301-MONOMER	hypothetical protein	G1G01-5301	
G1G01-3387-MONOMER	benzoate transport protein	G1G01-3387	CCI-PM-BAC-NEG-GN
G1G01-3229-MONOMER	hypothetical protein	G1G01-3229	CCI-CYTOSOL-GN
G1G01-3565-MONOMER	hypothetical protein	G1G01-3565	
G1G01-1808-MONOMER	D-isomer specific 2-hydroxyacid dehydrogenase family protein	G1G01-1808	CCI-CYTOSOL-GN
G1G01-5643-MONOMER	bifunctional 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase	G1G01-5643	CCI-CYTOSOL-GN
G1G01-781-MONOMER	putative membrane protein	G1G01-781	CCI-PM-BAC-NEG-GN
G1G01-5460-MONOMER	hypothetical protein	G1G01-5460	CCI-CYTOSOL-GN
G1G01-3902-MONOMER	CDP-diacylglycerol--serine O-phosphatidyltransferase	G1G01-3902	CCI-CYTOSOL-GN
G1G01-219-MONOMER	hypothetical protein	G1G01-219	
G1G01-3725-MONOMER	manganese-oxidizing multicopper oxidase	G1G01-3725	CCI-EXTRACELLULAR-GN
G1G01-4240-MONOMER	hypothetical protein	G1G01-4240	
G1G01-1280-MONOMER	Cro/CI family transcriptional regulator	G1G01-1280	
G1G01-200-MONOMER	hypothetical protein	G1G01-200	
G1G01-2536-MONOMER	hypothetical protein	G1G01-2536	CCO-MEMBRANE
G1G01-4589-MONOMER	hypothetical protein	G1G01-4589	
G1G01-595-MONOMER	aldehyde dehydrogenase	G1G01-595	CCI-CYTOSOL-GN
G1G01-2878-MONOMER	flavin reductase domain-containing oxidoreductase	G1G01-2878	
G1G01-4939-MONOMER	hypothetical protein	G1G01-4939	
G1G01-4061-MONOMER	ABC-type Fe<sup>2+</sup> transporter permease component	G1G01-4061	CCI-PM-BAC-NEG-GN
G1G01-1623-MONOMER	putative Phage integrase	G1G01-1623	CCI-CYTOSOL-GN
G1G01-5288-MONOMER	23S rRNA (adenine(2030)-N(6))-methyltransferase	G1G01-5288	CCI-CYTOSOL-GN
G1G01-94-MONOMER	hypothetical protein	G1G01-94	
G1G01-3214-MONOMER	hypothetical protein	G1G01-3214	
G1G01-355-MONOMER	serine hydroxymethyltransferase	G1G01-355	CCI-CYTOSOL-GN
G1G01-2350-MONOMER	2-aminoethylphosphonate--pyruvate transaminase	G1G01-2350	CCI-CYTOSOL-GN
G1G01-5629-MONOMER	leucine-binding DNA-binding transcriptional regulator	G1G01-5629	CCI-CYTOSOL-GN
G1G01-766-MONOMER	hypothetical protein	G1G01-766	CCI-CYTOSOL-GN
G1G01-4407-MONOMER	lysine decarboxylase	G1G01-4407	CCI-CYTOSOL-GN
G1G01-3889-MONOMER	two-component system sensor histidine kinase/response regulator	G1G01-3889	CCI-PM-BAC-NEG-GN
G1G01-2175-MONOMER	acyl-CoA dehydrogenase	G1G01-2175	CCI-CYTOSOL-GN
G1G01-2698-MONOMER	4-hydroxy-4-methyl-2-oxoglutarate aldolase aldolase	G1G01-2698	
G1G01-4225-MONOMER	TetR family transcriptional regulator	G1G01-4225	CCI-CYTOSOL-GN
G1G01-1266-MONOMER	dienelactone hydrolase family protein	G1G01-1266	
G1G01-110-MONOMER	cytochrome c oxidase subunit 3	G1G01-110	CCI-PM-BAC-NEG-GN
G1G01-2521-MONOMER	putative Type 1 pili subunit CsuA/B protein	G1G01-2521	
G1G01-4574-MONOMER	glyoxylate carboligase	G1G01-4574	CCI-CYTOSOL-GN
G1G01-4747-MONOMER	opine ABC transporter substrate-binding protein	G1G01-4747	CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
G1G01-2863-MONOMER	Fe-containing alcohol dehydrogenase	G1G01-2863	CCI-CYTOSOL-GN
G1G01-4924-MONOMER	hypothetical protein	G1G01-4924	
G1G01-1446-MONOMER	heme iron utilization protein	G1G01-1446	
G1G01-1609-MONOMER	hypothetical protein	G1G01-1609	
G1G01-32-MONOMER	metal-sensor histidine kinase	G1G01-32	CCI-PM-BAC-NEG-GN
G1G01-3034-MONOMER	hypothetical protein	G1G01-3034	
G1G01-5276-MONOMER	hypothetical protein	G1G01-5276	
G1G01-3535-MONOMER	TerC family membrane protein	G1G01-3535	CCI-PM-BAC-NEG-GN
G1G01-5108-MONOMER	ATP-dependent helicase HrpB	G1G01-5108	
G1G01-5614-MONOMER		G1G01-5614	CCO-MEMBRANE
G1G01-751-MONOMER	hypothetical protein	G1G01-751	CCI-PM-BAC-NEG-GN
G1G01-3372-MONOMER	hypothetical protein	G1G01-3372	
G1G01-3874-MONOMER	sulfonate ABC transporter substrate-binding protein	G1G01-3874	CCI-PM-BAC-NEG-GN
G1G01-216-MONOMER	membrane protease family protein	G1G01-216	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
G1G01-179-MONOMER	cell adhesion regulator LapG	G1G01-179	
G1G01-421-MONOMER	hypothetical protein	G1G01-421	
G1G01-1250-MONOMER	TRAP dicarboxylate transporter subunit DctM	G1G01-1250	CCI-PM-BAC-NEG-GN
G1G01-5446-MONOMER	hypothetical protein	G1G01-5446	CCI-PM-BAC-NEG-GN
G1G01-2506-MONOMER	hypothetical protein	G1G01-2506	
G1G01-456-MONOMER	anthranilate synthase glutaminase component	G1G01-456	CCI-CYTOSOL-GN
G1G01-3710-MONOMER	type II secretion system pseudopilin PulG-like signal peptide protein	G1G01-3710	
G1G01-2849-MONOMER	ABC transporter ATP-binding protein	G1G01-2849	CCI-PM-BAC-NEG-GN
G1G01-4909-MONOMER	LysR family transcriptional regulator	G1G01-4909	CCI-CYTOSOL-GN
G1G01-1982-MONOMER	hypothetical protein	G1G01-1982	CCI-CYTOSOL-GN // CCO-MEMBRANE
G1G01-1595-MONOMER	hypothetical protein	G1G01-1595	CCI-CYTOSOL-GN
G1G01-3185-MONOMER	shikimate dehydrogenase-like protein	G1G01-3185	CCI-CYTOSOL-GN
G1G01-58-MONOMER	transcriptional regulator	G1G01-58	CCI-CYTOSOL-GN
G1G01-5260-MONOMER	hypothetical protein	G1G01-5260	CCI-CYTOSOL-GN
G1G01-3520-MONOMER	universal stress protein family protein	G1G01-3520	CCI-CYTOSOL-GN
G1G01-4044-MONOMER	efflux transporter	G1G01-4044	CCI-PM-BAC-NEG-GN
G1G01-56-MONOMER	sulfide:quinone oxidoreductase	G1G01-56	CCI-PERI-BAC-GN
G1G01-386-MONOMER	RNA polymerase ECF-7 &sigma; factor	G1G01-386	CCI-CYTOSOL-GN
G1G01-925-MONOMER	23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	G1G01-925	CCI-CYTOSOL-GN
G1G01-2145-MONOMER	hypothetical protein	G1G01-2145	CCI-CYTOSOL-GN
G1G01-739-MONOMER	RNA polymerase ECF-15 &sigma; factor	G1G01-739	CCI-CYTOSOL-GN
G1G01-2335-MONOMER	LysR family transcriptional regulator	G1G01-2335	CCI-CYTOSOL-GN
G1G01-4196-MONOMER	hypothetical protein	G1G01-4196	
G1G01-1232-MONOMER	membrane fusion efflux protein	G1G01-1232	CCI-PM-BAC-NEG-GN
G1G01-4393-MONOMER	NADH-quinone oxidoreductase subunit I	G1G01-4393	CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
G1G01-2681-MONOMER	hypothetical protein	G1G01-2681	
G1G01-1086-MONOMER	sensor histidine kinase	G1G01-1086	CCI-PM-BAC-NEG-GN
G1G01-4731-MONOMER	hypothetical protein	G1G01-4731	
G1G01-1431-MONOMER	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	G1G01-1431	CCI-CYTOSOL-GN
G1G01-302-MONOMER	hypothetical protein	G1G01-302	
G1G01-5094-MONOMER	alcohol dehydrogenase	G1G01-5094	CCI-PM-BAC-NEG-GN
G1G01-3358-MONOMER	group 1 family glycosyl transferase	G1G01-3358	CCI-CYTOSOL-GN
G1G01-1775-MONOMER	adenosyl-cobyric acid synthase	G1G01-1775	CCI-CYTOSOL-GN
